HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:12849	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	Approved	gene with protein product	YWHAA		20q13.12	7529	ENSG00000166913	OTTHUMG00000032549	1053	14-3-3 phospho-serine/phospho-threonine binding proteins
HGNC:12851	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	Approved	gene with protein product		FLJ45465	17p13.3	7531	ENSG00000108953	OTTHUMG00000134316	1053	14-3-3 phospho-serine/phospho-threonine binding proteins
HGNC:12852	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	Approved	gene with protein product		PPP1R170, 14-3-3GAMMA, 14-3-3γ	7q11.23	7532	ENSG00000170027	OTTHUMG00000022862	1053	14-3-3 phospho-serine/phospho-threonine binding proteins
HGNC:12853	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	Approved	gene with protein product	YWHA1		22q12.3	7533	ENSG00000128245	OTTHUMG00000030833	1053	14-3-3 phospho-serine/phospho-threonine binding proteins
HGNC:12854	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	Approved	gene with protein product		HS1, 14-3-3	2p25.1	10971	ENSG00000134308	OTTHUMG00000013848	1053	14-3-3 phospho-serine/phospho-threonine binding proteins
HGNC:10773	SFN	stratifin	Approved	gene with protein product		YWHAS	1p36.11	2810	ENSG00000175793	OTTHUMG00000004093	1053	14-3-3 phospho-serine/phospho-threonine binding proteins
HGNC:12855	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	Approved	gene with protein product	YWHAD	KCIP-1, 14-3-3-zeta	8q22.3	7534	ENSG00000164924	OTTHUMG00000134291	1053	14-3-3 phospho-serine/phospho-threonine binding proteins
